	volume	open	close	date	rate	infl	vvp	predict
0	488355	240.57	240.09	2019-11-18	6.5	3.77	2.0	241.34612365708364
1	1367374	240.07	238.13	2019-11-18	6.5	3.77	2.0	239.11179835984927
2	1440243	238.13	237.45	2019-11-18	6.5	3.77	2.0	237.6005409898414
3	352894	237.6	237.98	2019-11-19	6.5	3.77	2.0	237.6005409898414
4	1323472	238.0	239.21	2019-11-19	6.5	3.77	2.0	237.6005409898414
5	1237222	239.21	239.25	2019-11-19	6.5	3.77	2.0	239.06879734092138
6	296251	238.6	237.81	2019-11-20	6.5	3.77	2.2	238.97060443352953
7	1263982	237.77	238.55	2019-11-20	6.5	3.77	2.2	237.6005409898414
8	1249984	238.55	237.78	2019-11-20	6.5	3.77	2.2	238.95376801115592
9	344089	237.44	236.73	2019-11-21	6.5	3.77	2.2	237.6005409898414
10	752786	236.74	237.58	2019-11-21	6.5	3.77	2.2	237.6005409898414
11	1368568	237.59	237.15	2019-11-21	6.5	3.77	2.2	237.6005409898414
12	517350	236.59	237.98	2019-11-22	6.5	3.77	2.2	237.6005409898414
13	1717088	237.95	237.77	2019-11-22	6.5	3.77	2.2	237.6005409898414
14	1122631	237.76	238.13	2019-11-22	6.5	3.77	2.2	237.6005409898414
15	267059	238.68	239.0	2019-11-25	6.5	3.77	2.2	239.085633763295
16	774545	239.0	237.91	2019-11-25	6.5	3.77	2.2	239.06879734092138
17	714214	237.9	237.98	2019-11-25	6.5	3.77	2.2	237.6005409898414
18	248392	238.08	237.69	2019-11-26	6.5	3.77	2.2	237.617377412215
19	1662640	237.73	235.33	2019-11-26	6.5	3.77	2.2	237.6005409898414
20	3923104	235.31	235.0	2019-11-26	6.5	3.77	2.2	234.8770278854555
21	350098	235.26	235.96	2019-11-27	6.5	3.77	2.2	234.85123687929408
22	699076	235.9	235.43	2019-11-27	6.5	3.77	2.2	236.895716548712
23	1139351	235.47	234.22	2019-11-27	6.5	3.77	2.2	236.895716548712
24	351722	234.2	234.39	2019-11-28	6.5	3.77	2.2	234.85123687929408
25	788162	234.4	233.4	2019-11-28	6.5	3.77	2.2	234.85123687929408
26	745685	233.4	235.2	2019-11-28	6.5	3.77	2.2	234.2599988166672
27	185664	234.65	234.24	2019-11-29	6.5	3.77	2.2	234.8680733016677
28	1144552	234.31	232.08	2019-11-29	6.5	3.77	2.2	234.85123687929408
29	1398319	232.09	233.98	2019-11-29	6.5	3.77	2.2	232.11552705201242
30	369158	234.59	235.24	2019-12-02	6.5	3.54	2.2	234.85123687929408
31	1167675	235.19	234.66	2019-12-02	6.5	3.54	2.2	234.85123687929408
32	1284802	234.7	233.77	2019-12-02	6.5	3.54	2.2	234.85123687929408
33	334472	233.49	232.54	2019-12-03	6.5	3.54	2.2	234.2599988166672
34	1020965	232.57	231.65	2019-12-03	6.5	3.54	2.2	232.11552705201242
35	1313279	231.72	230.66	2019-12-03	6.5	3.54	2.2	232.11552705201242
36	394426	230.72	230.45	2019-12-04	6.5	3.54	2.2	230.09704599185858
37	1109610	230.43	230.71	2019-12-04	6.5	3.54	2.2	230.09704599185858
38	927419	230.79	231.59	2019-12-04	6.5	3.54	2.2	230.09704599185858
39	316826	231.89	230.53	2019-12-05	6.5	3.54	2.2	232.11552705201242
40	1034726	230.51	230.57	2019-12-05	6.5	3.54	2.2	230.09704599185858
41	969506	230.54	231.71	2019-12-05	6.5	3.54	2.2	230.09704599185858
42	478913	232.0	232.69	2019-12-06	6.5	3.54	2.2	232.11552705201242
43	829612	232.68	232.98	2019-12-06	6.5	3.54	2.2	234.2599988166672
44	2020092	233.0	235.14	2019-12-06	6.5	3.54	2.2	234.2599988166672
45	406276	235.5	235.35	2019-12-09	6.5	3.54	2.2	236.895716548712
46	995625	235.35	235.55	2019-12-09	6.5	3.54	2.2	234.85123687929408
47	1775503	235.54	237.04	2019-12-09	6.5	3.54	2.2	236.895716548712
48	588895	236.6	238.14	2019-12-10	6.5	3.54	2.2	237.6005409898414
49	1697153	238.1	237.86	2019-12-10	6.5	3.54	2.2	237.6005409898414
50	1323843	237.86	237.91	2019-12-10	6.5	3.54	2.2	237.6005409898414
51	362765	237.81	238.76	2019-12-11	6.5	3.54	2.2	237.6005409898414
52	2233929	238.75	240.82	2019-12-11	6.5	3.54	2.2	239.06879734092138
53	1820091	240.82	240.32	2019-12-11	6.5	3.54	2.2	241.34612365708364
54	552986	242.0	241.44	2019-12-12	6.5	3.54	2.2	241.72340021044212
55	1427970	241.47	241.77	2019-12-12	6.5	3.54	2.2	241.72340021044212
56	1636509	241.78	241.05	2019-12-12	6.5	3.54	2.2	241.72340021044212
57	361820	242.0	241.4	2019-12-13	6.5	3.54	2.2	241.72340021044212
58	1886036	241.4	241.47	2019-12-13	6.5	3.54	2.2	241.72340021044212
59	1068519	241.48	241.21	2019-12-13	6.5	3.54	2.2	241.72340021044212
60	292351	242.48	240.95	2019-12-16	6.25	3.54	2.2	241.74023663281574
61	1173969	240.95	241.23	2019-12-16	6.25	3.54	2.2	241.34612365708364
