time,volume,open,close,date,rate,infl,vvp
04:00:00,1678,1229.8,1224.0,2019-11-11,6.5,3.77,2.0
08:00:00,3084,1223.0,1222.0,2019-11-11,6.5,3.77,2.0
12:00:00,2332,1224.0,1222.0,2019-11-11,6.5,3.77,2.0
04:00:00,354,1228.0,1225.0,2019-11-12,6.5,3.77,2.0
08:00:00,10239,1225.0,1227.8,2019-11-12,6.5,3.77,2.0
12:00:00,16800,1227.0,1235.6,2019-11-12,6.5,3.77,2.0
04:00:00,5075,1248.6,1234.4,2019-11-13,6.5,3.77,2.0
08:00:00,20542,1234.4,1241.2,2019-11-13,6.5,3.77,2.0
12:00:00,8027,1241.4,1239.4,2019-11-13,6.5,3.77,2.0
04:00:00,5633,1248.6,1246.6,2019-11-14,6.5,3.77,2.0
08:00:00,58321,1246.2,1275.2,2019-11-14,6.5,3.77,2.0
12:00:00,20646,1275.2,1261.2,2019-11-14,6.5,3.77,2.0
04:00:00,7848,1276.0,1261.4,2019-11-15,6.5,3.77,2.0
08:00:00,8779,1261.4,1256.8,2019-11-15,6.5,3.77,2.0
12:00:00,17086,1255.4,1250.0,2019-11-15,6.5,3.77,2.0
04:00:00,15230,1274.8,1262.4,2019-11-18,6.5,3.77,2.0
08:00:00,14228,1262.8,1256.6,2019-11-18,6.5,3.77,2.0
12:00:00,14467,1259.2,1255.0,2019-11-18,6.5,3.77,2.0
04:00:00,6156,1274.0,1258.4,2019-11-19,6.5,3.77,2.0
08:00:00,60663,1258.0,1250.2,2019-11-19,6.5,3.77,2.0
12:00:00,61704,1250.2,1241.0,2019-11-19,6.5,3.77,2.0
04:00:00,16831,1250.0,1246.8,2019-11-20,6.5,3.77,2.2
08:00:00,46726,1246.6,1226.4,2019-11-20,6.5,3.77,2.2
12:00:00,62463,1226.0,1215.8,2019-11-20,6.5,3.77,2.2
04:00:00,9451,1219.8,1216.2,2019-11-21,6.5,3.77,2.2
08:00:00,37140,1217.4,1209.8,2019-11-21,6.5,3.77,2.2
12:00:00,16861,1209.8,1210.8,2019-11-21,6.5,3.77,2.2
04:00:00,2252,1219.4,1217.8,2019-11-22,6.5,3.77,2.2
08:00:00,31783,1217.8,1204.2,2019-11-22,6.5,3.77,2.2
12:00:00,46182,1204.6,1202.0,2019-11-22,6.5,3.77,2.2
04:00:00,13766,1209.2,1207.0,2019-11-25,6.5,3.77,2.2
08:00:00,11523,1207.2,1208.0,2019-11-25,6.5,3.77,2.2
12:00:00,26777,1208.0,1206.0,2019-11-25,6.5,3.77,2.2
04:00:00,9833,1207.2,1211.6,2019-11-26,6.5,3.77,2.2
08:00:00,74748,1211.6,1206.4,2019-11-26,6.5,3.77,2.2
12:00:00,43645,1205.8,1199.4,2019-11-26,6.5,3.77,2.2
04:00:00,6003,1208.0,1206.2,2019-11-27,6.5,3.77,2.2
08:00:00,31467,1206.4,1204.6,2019-11-27,6.5,3.77,2.2
12:00:00,33170,1204.8,1203.0,2019-11-27,6.5,3.77,2.2
04:00:00,21955,1207.6,1200.8,2019-11-28,6.5,3.77,2.2
08:00:00,57367,1200.6,1195.4,2019-11-28,6.5,3.77,2.2
12:00:00,37893,1195.2,1194.2,2019-11-28,6.5,3.77,2.2
04:00:00,7061,1204.6,1192.8,2019-11-29,6.5,3.77,2.2
08:00:00,46843,1192.8,1180.6,2019-11-29,6.5,3.77,2.2
12:00:00,33943,1180.6,1185.8,2019-11-29,6.5,3.77,2.2
04:00:00,4816,1177.0,1188.4,2019-12-02,6.5,3.54,2.2
08:00:00,26152,1188.4,1182.4,2019-12-02,6.5,3.54,2.2
12:00:00,31391,1182.4,1176.4,2019-12-02,6.5,3.54,2.2
04:00:00,14773,1161.0,1171.4,2019-12-03,6.5,3.54,2.2
08:00:00,79243,1171.0,1141.8,2019-12-03,6.5,3.54,2.2
12:00:00,33188,1142.6,1133.0,2019-12-03,6.5,3.54,2.2
04:00:00,9593,1135.0,1131.8,2019-12-04,6.5,3.54,2.2
08:00:00,11487,1131.8,1136.8,2019-12-04,6.5,3.54,2.2
12:00:00,12928,1137.4,1140.0,2019-12-04,6.5,3.54,2.2
04:00:00,11534,1144.6,1146.0,2019-12-05,6.5,3.54,2.2
08:00:00,27165,1145.2,1155.2,2019-12-05,6.5,3.54,2.2
