time,volume,open,close,date
00:00:00,3604600,452,445.9,2019-11-27
00:00:00,2224970,445.45,445.5,2019-11-28
00:00:00,2907480,444.6,441,2019-11-29
00:00:00,3243280,443.4,435.45,2019-12-02
00:00:00,2849710,434.2,433,2019-12-03
00:00:00,3553690,433.4,442.15,2019-12-04
00:00:00,2932430,441,438.4,2019-12-05
00:00:00,2845350,438.4,446,2019-12-06
00:00:00,2006130,448,449,2019-12-09
00:00:00,2593230,448.8,448.85,2019-12-10
00:00:00,3936930,449.45,451.7,2019-12-11
00:00:00,5508850,453.3,452.8,2019-12-12
00:00:00,4586410,456.15,451.1,2019-12-13
00:00:00,3597230,450.8,448.45,2019-12-16
00:00:00,5215360,449.95,454.05,2019-12-17
00:00:00,4389380,453,454.45,2019-12-18
00:00:00,5095820,454.5,451.75,2019-12-19
00:00:00,5244610,452.45,451.75,2019-12-20
00:00:00,2999470,451.7,451,2019-12-23
00:00:00,1574240,451,451.4,2019-12-24
00:00:00,1649040,452,454,2019-12-25
00:00:00,1786410,455.7,452.5,2019-12-26
00:00:00,2784150,453.5,453.5,2019-12-27
00:00:00,3255130,453.4,449.7,2019-12-30
00:00:00,4376800,453.75,456.9,2020-01-03
00:00:00,6828930,459,455.6,2020-01-06
00:00:00,9251220,456,452,2020-01-08
00:00:00,4977360,452.4,460.2,2020-01-09
00:00:00,6695940,459.9,473.5,2020-01-10
00:00:00,4812230,476.65,481.15,2020-01-13
00:00:00,6553240,481.15,475.5,2020-01-14
00:00:00,4595510,474.7,474.5,2020-01-15
00:00:00,4124610,477.95,480.95,2020-01-16
00:00:00,4466590,482.45,485.15,2020-01-17
00:00:00,3130680,488,484.85,2020-01-20
00:00:00,2932730,482.55,486.15,2020-01-21
00:00:00,11724320,486.25,478.15,2020-01-22
00:00:00,4185540,475,473.1,2020-01-23
00:00:00,3300950,475.05,474,2020-01-24
00:00:00,5684600,469.05,468.3,2020-01-27
00:00:00,5883840,472.1,477.7,2020-01-28
00:00:00,6309330,480.5,481.7,2020-01-29
00:00:00,14599820,480.95,481.2,2020-01-30
00:00:00,8598480,485,480.5,2020-01-31
00:00:00,4692830,478.7,479.95,2020-02-03
00:00:00,8782880,481,480,2020-02-04
00:00:00,5659990,481,477,2020-02-05
00:00:00,4759310,478.5,475.6,2020-02-06
00:00:00,16679550,475.5,463.6,2020-02-07
00:00:00,8918200,463.6,450,2020-02-10
00:00:00,7847480,454.85,454.3,2020-02-11
00:00:00,7411680,456.7,465.8,2020-02-12
00:00:00,5200420,463.2,463,2020-02-13
00:00:00,4928520,463,460.5,2020-02-14
00:00:00,2862290,461,464.7,2020-02-17
00:00:00,12455090,462.7,452.2,2020-02-18
00:00:00,10662570,455.25,465.65,2020-02-19
00:00:00,9033880,468,470.4,2020-02-20
00:00:00,6005410,468.1,461.75,2020-02-21
00:00:00,7406410,455.05,443.85,2020-02-25
00:00:00,9702670,441.75,443.7,2020-02-26
00:00:00,9695140,437,422.05,2020-02-27
00:00:00,18913840,416,403.4,2020-02-28
00:00:00,11867380,411,394.5,2020-03-02
00:00:00,11096890,406.95,406,2020-03-03
00:00:00,9096600,403,415.95,2020-03-04
00:00:00,8606580,417.5,410.6,2020-03-05
00:00:00,12793490,406,392.95,2020-03-06
00:00:00,38328490,353.7,326.5,2020-03-10
00:00:00,20738020,332.9,314.05,2020-03-11
00:00:00,29246810,300,277.5,2020-03-12
00:00:00,44712980,261.2,266.25,2020-03-13
00:00:00,31025780,266.25,258.5,2020-03-16
00:00:00,19695180,260.5,249.15,2020-03-17
00:00:00,19316370,244,234,2020-03-18
00:00:00,37674540,237,264.4,2020-03-19
00:00:00,45411190,274.5,287.75,2020-03-20
00:00:00,35837260,275,274,2020-03-23
00:00:00,22742550,300,298.5,2020-03-24
00:00:00,36681020,304.5,304.75,2020-03-25
00:00:00,20497860,304.75,316.2,2020-03-26
00:00:00,13849010,315.9,302.8,2020-03-27
00:00:00,29933870,316.5,301,2020-03-30
00:00:00,25538920,305.1,314.35,2020-03-31
00:00:00,18359340,308,321,2020-04-01
00:00:00,38778560,335,340.5,2020-04-02
00:00:00,37269440,344,345,2020-04-03
00:00:00,18148920,348,343,2020-04-06
00:00:00,28546820,350,339.5,2020-04-07
00:00:00,14035290,337,341.5,2020-04-08
00:00:00,27112760,347.9,353,2020-04-09
00:00:00,12849240,350,344,2020-04-10
00:00:00,9852690,345,336.7,2020-04-13
00:00:00,13264460,339.15,330.95,2020-04-14
00:00:00,19859390,328,307.25,2020-04-15
00:00:00,21559360,308.85,305.75,2020-04-16
00:00:00,14666310,312,313.9,2020-04-17
00:00:00,12229610,310.5,307.9,2020-04-20
00:00:00,25247170,299.2,304,2020-04-21
00:00:00,25009860,299.1,321.95,2020-04-22
00:00:00,22987910,329.6,335,2020-04-23
00:00:00,16539600,334.7,324,2020-04-24
00:00:00,10276660,322.2,322.9,2020-04-27
00:00:00,17584700,320.5,325.1,2020-04-28
00:00:00,15369840,328,337.95,2020-04-29
00:00:00,17148520,343.25,335.65,2020-04-30
00:00:00,8831090,330.55,331,2020-05-04
00:00:00,13975500,337,342.5,2020-05-05
00:00:00,14591870,344,336.65,2020-05-06
00:00:00,12491770,337.15,343,2020-05-07
00:00:00,9550290,344.05,348,2020-05-08
00:00:00,11186970,347.8,351.1,2020-05-12
00:00:00,8913160,350.3,348,2020-05-13
00:00:00,8929200,346,347.15,2020-05-14
00:00:00,9514140,351.2,350.05,2020-05-15
00:00:00,19896670,357.5,375.05,2020-05-18
00:00:00,18944540,376.2,376.5,2020-05-19
00:00:00,14745420,374,380.25,2020-05-20
00:00:00,20892400,378.9,367,2020-05-21
00:00:00,13802870,359.7,364.5,2020-05-22
00:00:00,5287090,366.5,373.95,2020-05-25
00:00:00,10602650,377.8,374.4,2020-05-26
00:00:00,12194760,373.8,374.9,2020-05-27
00:00:00,7373100,376.8,377.45,2020-05-28
