name	figi	ticker	class_code	country_of_risk
TCS Group	TCS1238U2033	US87238U2033	US87238U2033_RZB	RU
НКХП	BBG00BGKYH17	NKHP	TQBR	RU
Форвард Энерго	TCS00A0F61T7	TGKJ	MTQR	RU
Элемент	TCS10A102093	ELMT	PSSPBRUDO	RU
Etalon Group PLC ГДР	TCS1054G1031	US29760G1031	000	RU
НЛМК	TCS735046452	RU0009046452	A36	RU
Центр международной торговли	BBG000TG6T57	WTCM	TQBR	RU
Трубная Металлургическая Компания	TCS10A0B6NK6	TRMK	PTEQ	RU
Совкомбанк	TCS10A0ZZAC4	SVCB	PSSU	RU
Юнипро	TCS10A0JNGA5	RU000A0JNGA5	TILA21	RU
Волгоградэнергосбыт	BBG000FJ6LN3	VGSB	TQBR	RU
МГТС	TCS515036461	RU0009036461	A36	RU
Росгосстрах	TCS421810855	RU0008010855	A36	RU
Распадская	TCS70A0B90N8	RASP	SMAL	RU
Нижнекамскнефтехим	TCS009100507	RU0009100507	TILA21	RU
Башнефть - привилегированные акции	BBG004S686N0	BANEP	TQBR	RU
Софтлайн	TCS80A0ZZBC2	SOFL	SPEQ	RU
Globaltrans Investment PLC	TCS0949E2046	GLTR@GS	SPBXM	RU
КарМани	TCS70A105NV2	CARM	PSBB	RU
Татнефть	TCS309033591	RU0009033591	TILT01	RU
O'Key Group SA	BBG00172J7S9	OKEY	TQBR	RU
АЛРОСА	BBG004S68B31	ALRS	TQBR	RU
Корпоративный Центр Икс 5	TCS80A108X38	RU000A108X38	04	RU
Сбер Банк	TCS409029540	RU0009029540	RU0009029540_TILT01	RU
Софтлайн	TCS10A0ZZBC2	SOFL	PSBB_EQ	RU
Группа Астра	TCS800606T36	RU000A106T36	A36	RU
United medical group	US91085A2033	US91085A2033	SPBXM_OTC	RU
Элемент	TCS00A102093	ELMT	SPBRU	RU
Детский Мир	TCS10A0JSQ90	DSKY	SPEQ	RU
IPO HENDERSON	ISSUANCEHEND	ISSUANCEHEND	ISSUANCEHEND	RU
Россети Центр и Приволжье	BBG000VG1034	MRKP	TQBR	RU
Объединенная авиастроительная корпорация	TCS5066JPLZ7	RU000A0JPLZ7	A36	RU
Raven Property Group	BBG00M54PM65	RAVN	TQBR	RU
X5 RetailGroup ГДР	TCS8387E2054	FIVE	SPEQ	RU
АбрауДюрсо	TCS5885JS5T7	RU000A0JS5T7	A36	RU
Совкомфлот	BBG000R04X57	FLOT	TQBR	RU
Сургутнефтегаз - привилегированные акции	TCS857829524	RU0009029524	A36	RU
МГКЛ	TCS20A0JVJQ8	MGKL	PTEQ	RU
Хэдхантер	TCS30A107662	HEAD	OTCSUB	RU
HeadHunter Group PLC	US42207L1061	US42207L1061	SPBXM_OTC	RU
HENDERSON	TCS30A106XF2	RU000A106XF2	RU000A106XF2_T01	RU
Диасофт	TCS00A107ER5	DIAS	TQBR	RU
Globaltrans Investment PLC	TCS3949E2046	GLTR@GS	A25	RU
ОВК	TCS4785JVBT9	RU000A0JVBT9	A36	RU
Татнефть	BBG004RVFFC0	TATN	TQBR	RU
Камчатскэнерго	BBG000P69JH9	KCHE	TQBR	RU
ДИОД	BBG000R0L782	DIOD	TQBR	RU
Globaltrans Investment PLC	TCS2949E2046	US37949E2046	US37949E2046_A25	RU
Сургутнефтегаз - привилегированные акции	TCS109029524	RU0009029524	TILA21	RU
Ленэнерго	TCS009034490	LSNG	SMAL	RU
VEON	TCS1822M5022	US91822M5022	US91822M5022_T00	RU
Магнит	TCS00A0JKQU8	MGNT	SPEQ	RU
Solidcore Resources plc	TCS8B6T5S470	POLY	T01	RU
Южный Кузбасс	BBG000RK0SD9	UKUZ	TQBR	RU
VEON	TCS3822M5022	US91822M5022	US91822M5022_TBTL04	RU
Яндекс	TCS139805522	YNDX@UR	PSSPBRU	RU
Артген	TCS10A0JNAB6	ABIO	TQBR	RU
VEON	TCSF349W1038	BMG9349W1038	A30	RU
АЛРОСА-Нюрба	BBG002B25NL9	ALNU	TQBR	RU
Фармсинтез	TCS2288JR514	RU000A0JR514	A36	RU
Софтлайн	TCS8526ZZBC2	RU000A0ZZBC2	A36	RU
ОВК	BBG008HD3V85	UWGN	TQPI	RU
Вторая генерирующая компания оптового рынка электроэнергии	TCS10A0JNG55	RU000A0JNG55	TILA21	RU
Якутскэнерго	BBG100HJXDM0	YKEN	SMAL	RU
QIWI	TCS7735M1080	US74735M1080	NDS	RU
Ростелеком	TCS008943394	RTKM	SMAL	RU
Трубная Металлургическая Компания	TCS8939B6NK6	RU000A0B6NK6	A36	RU
ОВК	TCS00A0JVBT9	UWGN	PSRP	RU
Группа ЛСР	TCS00A0JPFP0	RU000A0JPFP0	TILA21	RU
РусАгро	US7496552057	US7496552057	SPBXM_OTC	RU
