name	figi	ticker	class_code	country_of_risk
Уралкуз	BBG002Z691S1	URKZ	TQBR	RU
ЛУКОЙЛ	TCS914124277	RU0009024277	A37	RU
Банк Санкт-Петербург	TCS009100945	BSPB	SMAL	RU
МГКЛ	TCS10A0JVJQ8	MGKL	PSSU	RU
Ставропольэнергосбыт - привилегированные акции	BBG000VDT2X4	STSBP	TQBR	RU
РусАгро	TCS996552057	US7496552057	A14	RU
Мать и дитя	TCS449808KL3	RU000A108KL3	A36	RU
Ренессанс Страхование	RENAISSANCE2	RENAISSANCE2	RENAISSANCE2	RU
Сургутнефтегаз	BBG0047315D0	SNGS	TQBR	RU
МКБ	BBG009GSYN76	CBOM	TQBR	RU
Positive Technologies Оферта (3 окно)	ISSANCEPOSI3	ISSANCEPOSI3	ISSANCEPOSI3	RU
Сегежа	TCS355802XG9	RU000A102XG9	A36	RU
ВК	TCS10A106YF0	RU000A106YF0	RU000A106YF0_A22	RU
Ашинский метзавод	BBG000RJWGC4	AMEZ	TQBR	RU
ТГК-2 - акции привилегированные	BBG000Q7GJ60	TGKBP	TQBR	RU
ЕвроТранс	TCS30A1002V2	RU000A1002V2	RU000A1002V2_A21	RU
АбрауДюрсо	BBG002W2FT69	ABRD	TQBR	RU
ЛУКОЙЛ	TCS409024277	RU0009024277	RU0009024277_NSD	RU
ПИК	BBG004S68BH6	PIKK	TQBR	RU
Роснефть	BBG004731354	ROSN	TQBR	RU
НОВАТЭК	TCS5803DKVS5	RU000A0DKVS5	A36	RU
ЕвроТранс	TCS00A1002V2	EUTR	TQBR	RU
ТГК-2 - акции привилегированные	TCS00A0JNGT5	TGKBP	SMAL	RU
Трубная Металлургическая Компания	BBG004TC84Z8	TRMK	TQBR	RU
Акрон	TCS174428674	RU0009028674	A36	RU
Софтлайн	TCS00A0ZZBC2	SOFL	TQBR	RU
Интер РАО ЕЭС	TCS5785JPNM1	RU000A0JPNM1	A36	RU
Россети Урал	BBG000VKG4R5	MRKU	TQBR	RU
МТС-Банк	TCS01A0JRH43	MBNK	PTEQ	RU
Solidcore Resources plc	TCS7B6T5S470	POLY	PSBB_EQ	RU
United medical group	TCS984307JE2	RU000A107JE2	A37	RU
Магнитогорский металлургический комбинат	TCS109084396	RU0009084396	RU0009084396_A21	RU
Global Ports Investments PLC	TCS00A107H54	RU000A107H54	RU000A107H54	RU
СПБ Биржа	TCS20A0JQ9P9	SPBE	SPBE_NDS	RU
Татнефть - привилегированные акции	TCS106944147	RU0006944147	T01	RU
Whoosh	TCS20A105EX7	RU000A105EX7	RU000A105EX7_T01	RU
Белон	TCS10A0J2QG8	BLNG	TQPI	RU
Сегежа	TCS10A102XG9	SGZH	SPEQ	RU
Делимобиль	TCS10A107J11	DELI	PTEQ	RU
Саратовский НПЗ - акции привилегированные	BBG002B2J5X0	KRKNP	TQBR	RU
Ozon Holdings PLC	TCS5269L1044	OZON@US	A25	RU
Северсталь	BBG00475K6C3	CHMF	TQBR	RU
Европлан	TCS20A0ZZFS9	LEAS	PTEQ	RU
ГАЗ - обыкновенные акции	TCS009034268	GAZA	TQPI	RU
МТС	TCS765275219	RU0007775219	A37	RU
Globaltrans Investment PLC	TCS0249E2046	GLTR@GR	A25	RU
Циан АДР	US83418T1088	US83418T1088	SPBXM_OTC	RU
Ростелеком	TCS440943394	RU0008943394	A36	RU
Озон Фармацевтика	TCS10A109B25	OZPH	PSSU	RU
Яндекс	TCS509805522	YNDX@US	SPBXM	RU
Самараэнерго	BBG000NLDS29	SAGO	TQBR	RU
Эн+	BBG000RMWQD4	ENPG	TQBR	RU
ТКС Холдинг	TCS50A107UL4	RU000A107UL4	NSD	RU
Банк ВТБ	TCS70A0JP5V6	VTBR	D6	RU
Solidcore Resources plc	BBG004PYF2N3	POLY	TQBR	RU
Petropavlovsk PLC	GB0031544546	GB0031544546	SPBXM_OTC	RU
Нижнекамскнефтехим (привилегированные)	BBG000GQSVC2	NKNCP	TQBR	RU
Хэдхантер	TCS60A107662	RU000A107662	A21	RU
АЛРОСА	RU0007252813	ALRS	D6	RU
Магнитогорский металлургический комбинат	BBG104S68507	MAGN	SMAL	RU
IPO ЕМС USD	ISSUANCEEMCD	ISSUANCEEMCD	ISSUANCEEMCD	RU
Норильский никель	TCS953388411	RU0007288411	A36	RU
Российские сети - акции привилегированные	BBG000KTF667	RSTIP	TQBR	RU
Группа Позитив	TCS40A103X66	POSI	PSEQ	RU
Positive Technologies Оферта (1 окно)	ISSANCEPOSI1	ISSANCEPOSI1	ISSANCEPOSI1	RU
VK	TCS403172082	US5603172082	US5603172082_RZI	RU
Обьнефтегазгеология - привилегированные акции	TCS00A0HG602	OBNEP	MTQR	RU
ФосАгро	TCS00A0JRKT8	PHOR	SPEQ	RU
ГТМ	TCS9978ZYD22	RU000A0ZYD22	A36	RU
МРСК Сибири	TCS00A0JPPF0	MRKS	SMAL	RU
Уфаоргсинтез - привилегированные акции	TCS009102396	UFOSP	MTQR	RU
Костромская сбытовая компания	BBG000DBV7S0	KTSB	TQBR	RU
МРСК Волги	BBG000PKWCQ7	MRKV	TQBR	RU
IPO СПБ Биржа	ISSUANCESPBE	ISSUANCESPBE	ISSUANCESPBE	RU
Городские Инновационные Технологии	TCS8586JV532	RU000A0JV532	A36	RU
VK	TCS703172082	US5603172082	US5603172082_BKD	RU
HeadHunter Group PLC	TCS7207L1061	US42207L1061	OBMEN	RU
X5 RetailGroup ГДР	TCS4387E2054	FIVE@GS	SPBEQRU	RU
Корпоративный Центр Икс 5	RU000A108X38	RU000A108X38	00	RU
Ozon Holdings PLC	TCS6394L1044	US69269L1044	000	RU
Группа ЛСР	BBG004S68C39	LSRG	TQBR	RU
Whoosh	TCS10A105EX7	WUSH	SPEQ	RU
МГТС - акции привилегированные	TCS009036479	RU0009036479	TILA21	RU
ТКС Холдинг	TCS00A107UL4	TCSG	TQBR	RU
ВК	TCS50A106YF0	RU000A106YF0	RU000A106YF0_L02SPB	RU
Яковлев	TCS00A1076X2	RU000A1076X2	RU000A1076X2	RU
Центральный Телеграф	BBG000BBV4M5	CNTL	TQBR	RU
Solidcore Resources plc	TCS1B6T5S470	POLY	NDS	RU
IPO МТС Банк	ISSUANCEMTCB	ISSUANCEMTCB	ISSUANCEMTCB	RU
ЭсЭфАй	TCS00A0JVW89	RU000A0JVW89	TILA21	RU
СОЛЛЕРС	TCS006914488	SVAV	SMAL	RU
ДВМП	TCS108992318	RU0008992318	TILA21	RU
IPO Delimobil	ISSUANCEDELM	DELM	DELM	RU
МГКЛ	TCS4793JVJQ8	RU000A0JVJQ8	A36	RU
ВИ.РУ	TCS10A108K09	VSEH	TQBR	RU
ДВМП	TCS769092318	RU0008992318	A36	RU
НЛМК	TCS109046452	NLMK	SPEQ	RU
ВК	TCS749206YF0	RU000A106YF0	A36	RU
Совкомфлот	TCS10A0JXNU8	RU000A0JXNU8	TILA21	RU
Ozon Holdings PLC	TCS0269L1044	OZON@US	SPBEQRU	RU
СОЛЛЕРС	BBG004S68JR8	SVAV	TQBR	RU
ТНС энерго Марий Эл	BBG000DD65R9	MISB	TQBR	RU
ТМК Оферта	ISSANCETRMKK	ISSANCETRMKK	ISSANCETRMKK	RU
МРСК Северного Кавказа	BBG000V95X70	MRKK	TQBR	RU
ОВК	TCS10A0JVBT9	UWGN	PSPI	RU
ГК Самолет	TCS3413ZZG02	RU000A0ZZG02	A36	RU
Группа Аренадата	TCS20A108ZR8	DATA	PTEQ	RU
ПИК	TCS00A0JP7J7	RU000A0JP7J7	TILA21	RU
Детский Мир	TCS20A0JSQ90	DSKY	PSBB_EQ	RU
Транснефть - привилегированные акции	TCS513591573	RU0009091573	A36	RU
Газпром нефть	TCS009062467	SIBN	SPEQ	RU
Whoosh	TCST0A105EX7	WUSH	PTEQ	RU
РУСАЛ	TCS10A1025V3	RU000A1025V3	TILA21	RU
ВИ.РУ	TCS30A108K09	VSEH	PTEQ	RU
ТКС Холдинг	TCS20A107UL4	RU000A107UL4	A21	RU
АВТОВАЗ	BBG000NLHC48	AVAZ	TQBR	RU
Яковлев	TCS006752979	RU0006752979	TILA21	RU
Башнефть - привилегированные акции	TCS190276965	RU0007976965	A37	RU
ТГК-1	TCS10A0JNUD0	RU000A0JNUD0	RU000A0JNUD0_A21	RU
Газпром	TCS707661625	RU0007661625	000	RU
IVA Technologies	TCS20A108GD8	IVAT	PTEQ	RU
Магнит	TCS8889JKQU8	RU000A0JKQU8	A36	RU
Совкомбанк	TCS80A0ZZAC4	RU000A0ZZAC4	A36	RU
VK	TCS203172082	US5603172082	US5603172082_RZB	RU
Сбер Банк - привилегированные акции	TCS142729557	RU0009029557	A37	RU
Ростелеком - Привилегированные акции	BBG004S685M3	RTKMP	TQBR	RU
ВИ.РУ	TCS40A108K09	VSEH	A36	RU
ЭЛ5-Энерго	TCS00A0F5UN3	ENRU	SMAL	RU
VK	TCS803172082	US5603172082	US5603172082_NDS	RU
ФСК Россети	TCS8073JPNN9	RU000A0JPNN9	A36	RU
Группа Черкизово	TCS00A0JL4R1	RU000A0JL4R1	TILA21	RU
QIWI	TCSF735M1080	US74735M1080	A30	RU
Яндекс	TCS009805522	NL0009805522	NL0009805522_RZK	RU
КАМАЗ	TCS008959580	KMAZ	SMAL	RU
КАМАЗ	BBG000LNHHJ9	KMAZ	TQBR	RU
Кузнецкий Банк	BBG003C53JK1	KUZB	TQBR	RU
Казаньоргсинтез - акции обыкновенные	BBG0029SFXB3	KZOS	TQBR	RU
Томская распределительная компания	BBG000MDCJV7	TORS	TQBR	RU
МФК Займер	TCS80A107RM8	RU000A107RM8	A21	RU
IPO FixPrice	ISSUANCEOFIX	ISSUANCEOFIX	ISSUANCEOFIX	RU
Fix Price Group	BBG00ZHCX1X2	FIXP	TQBR	RU
Транснефть - привилегированные акции	TCS009091573	TRNFP	SPEQ	RU
YNDX_OTC	ISSUANCEYNDX	ISSUANCEYNDX	ISSUANCEYNDX	RU
НОВАТЭК	TCS30A0DKVS5	RU000A0DKVS5	TILA21	RU
Global Ports Investments PLC	RU000A107H54	RU000A107H54	RU000A107H54_BLT	RU
МГТС - акции привилегированные	BBG000PZ0833	MGTSP	TQBR	RU
ФСК Россети	TCS10A0JPNN9	FEES	SPEQ	RU
ЭЛ5-Энерго	BBG000F6YPH8	ELFV	TQBR	RU
РусГидро	TCS10A0JPKH7	HYDR	SPEQ	RU
Северсталь	TCS209046510	RU0009046510	T01	RU
IPO ПРОМОМЕД	ISSUANCEPMEM	ISSUANCEPMEM	ISSUANCEPMEM	RU
Кристалл	TCS00A107KX0	KLVZ	TQBR	RU
Ижсталь - привилегированные акции	BBG002B2JCL8	IGSTP	TQBR	RU
РусГидро	TCS20A0JPKH7	RU000A0JPKH7	TILA21	RU
Freedom Holding Corp/NV	TCSF63901046	US3563901046	A30	RU
НЛМК	TCS009046452	NLMK	SMAL	RU
Аэрофлот	TCS009062285	AFLT	SMAL	RU
Тантал	BBG002B295Q9	TANL	TQPI	RU
IPO Мосгорломбард	ISSUANCEMGLD	ISSUANCEMGLD	ISSUANCEMGLD	RU
Сбер Банк	TCS509029540	RU0009029540	A21	RU
Ижсталь	BBG002B2JF59	IGST	TQBR	RU
ЕвроТранс	TCS6800002V2	RU000A1002V2	A36	RU
IPO Совкомбанк	ISSUANCESFBK	ISSUANCESFBK	ISSUANCESFBK	RU
РусАгро	BBG007N0Z367	AGRO	TQBR	RU
ЗИЛ - акции привилегированные	TCS544352904	RU0006752904	A36	RU
VEON	BBG00R4Z2NT4	VEON-RX	TQBR	RU
НИТЕЛ	TCS002614686	NTZL	MTQR	RU
Globaltrans Investment PLC	TCS6949E2046	GLTR@GR	PSSPBRU	RU
Форвард Энерго	TCS7174F61T7	RU000A0F61T7	A36	RU
VEON	TCS5349W1038	VEON-RX	SMAL	RU
Сегежа	TCS20A102XG9	RU000A102XG9	TILA21	RU
ОМЗ (Группа Уралмаш-Ижора) - привилегированные акции	BBG000CV9JM2	OMZZP	TQBR	RU
Газпром	TCS309661625	RU0007661625	A38	RU
Ozon Holdings PLC	TCS4269L1044	OZON	SPEQ	RU
Хэдхантер	TCS20A107662	HEAD	TQBR	RU
Детский Мир	TCS000BN56Q9	DSKY	TQPI	RU
Самараэнерго - привилегированные акции	BBG000NLDYT7	SAGOP	TQBR	RU
Городские Инновационные Технологии	TCS10A0JV532	GRNT	MTQR	RU
Яндекс	TCS609805522	YNDX@US	SPBEQRU	RU
ИНАРКТИКА	TCS3277JQTS3	RU000A0JQTS3	A36	RU
Яндекс	TCS00A107T19	YDEX	TQBR	RU
Софтлайн	TCS60A0ZZBC2	RU000A0ZZBC2	TILA21	RU
ОВК	TCS20A0JVBT9	RU000A0JVBT9	TILA21	RU
АЛРОСА	TCS207252813	ALRS	SMAL	RU
НЕФАЗ	TCS009115604	RU0009115604	TILA21	RU
Ozon Holdings PLC	TCS1269L1044	US69269L1044	US69269L1044_RZB	RU
Курганская генерирующая компания - привилегированные акции	BBG003LD1D92	KGKCP	TQBR	RU
ГК Самолет	BBG00F6NKQX3	SMLT	TQBR	RU
Башнефть	BBG004S68758	BANE	TQBR	RU
ГК Самолет	TCS00A0ZZG02	SMLT	SPEQ	RU
Аэрофлот	BBG004S683W7	AFLT	TQBR	RU
Циан АДР	BBG012YQ6P43	CIAN	TQBR	RU
ТГК-2	TCS00A0JNGS7	TGKB	SMAL	RU
ГТМ	TCS10A0ZYD22	RU000A0ZYD22	TILA21	RU
Обувь России	BBG001BBGNS2	ORUP	MTQR	RU
ТНС энерго Марий Эл - привилегированные акции	BBG000DD66T5	MISBP	TQBR	RU
Россети Центр	TCS00A0JPPL8	RU000A0JPPL8	RU000A0JPPL8_A21	RU
HeadHunter Group PLC	TCS8207L1061	US42207L1061	OBMENSPB	RU
Татнефть - привилегированные акции	TCS244144147	RU0006944147	A36	RU
Московская Биржа	TCS6656JR4A1	RU000A0JR4A1	A36	RU
Росгосстрах	BBG005S5WCS4	RGSS	TQBR	RU
Solidcore Resources plc	TCS0B6T5S470	POLY	SPEQ	RU
Сбер Банк	BBG004730N88	SBER	TQBR	RU
Сургутнефтегаз	TCS208926258	RU0008926258	TILA21	RU
Сегежа	TCS00A102XG9	SGZH	SMAL	RU
РУСАЛ	TCS30A1025V3	RUAL	SMAL	RU
ТНС энерго Ярославль - привилегированные акции	BBG000DG5L16	YRSBP	TQBR	RU
IPO Cian	ISSUANCECIAN	ISSUANCECIAN	ISSUANCECIAN	RU
Генетико	TCS00A105BN4	GECO	TQBR	RU
Трубная Металлургическая Компания	TCS30A0B6NK6	TRMK	SMAL	RU
Полюс Золотые облигации	ISSUANCEPGLD	ISSUANCEPGLD	ISSUANCEPGLD	RU
Русполимет	BBG000R466J1	RUSP	TQBR	RU
М.Видео	BBG004S68CP5	MVID	TQBR	RU
РУСАЛ	TCS1184025V3	RU000A1025V3	A36	RU
Центральный Телеграф	TCS007665147	RU0007665147	TILA21	RU
Башнефть - привилегированные акции	TCS864476965	RU0007976965	A36	RU
Яндекс	TCS109805522	YNDX	SPEQ	RU
Центр международной торговли - привилегированные акции	BBG000TG6VR8	WTCMP	TQBR	RU
Группа Позитив	TCS20A103X66	POSI	PTEQ	RU
Норильский никель	TCS422288411	RU0007288411	A37	RU
Группа Астра	TCS10A106T36	ASTR	PTEQ	RU
Славнефть-Мегионнефтегаз - привилегированные акции	BBG000NLL888	MFGSP	TQBR	RU
СПБ Биржа	TCS10A0JQ9P9	SPBE	SPBERUB	RU
Татнефть	TCS109033591	RU0009033591	BLABEB	RU
ВК	TCS20A106YF0	RU000A106YF0	RU000A106YF0_A21	RU
Северсталь	TCS267546510	RU0009046510	A37	RU
МФК Займер	TCS20A107RM8	ZAYM	PTEQ	RU
Европлан	TCS1870ZZFS9	RU000A0ZZFS9	A36	RU
Татнефть	TCS485233591	RU0009033591	A36	RU
IPO Озон Фармацевтика	ISSUANCEUHFA	ISSUANCEUHFA	ISSUANCEUHFA	RU
TCS Group (Tinkoff Bank holder)	TCS7238U2033	TCS	SPBEQRU	RU
Банк ВТБ	TCS00A0JP5V6	VTBR	SMAL	RU
Solidcore Resources plc	TCS2B6T5S470	JE00B6T5S470	NDS	RU
КАМАЗ	TCS208959580	RU0008959580	TILA21	RU
Обувь России	TCS10A0JXKG3	RU000A0JXKG3	TILA21	RU
Globaltrans Investment PLC	US37949E2046	US37949E2046	SPBXM_OTC	RU
Объединенные Кредитные Системы	BBG004K6B556	UCSS	TQBR	RU
Российские сети	TCS00A0JPVJ0	RSTI	SMAL	RU
IPO Сегежа	ISSUANCESGZA	ISSUANCESGZA	ISSUANCESGZA	RU
Мечел	TCS9940DKXV5	RU000A0DKXV5	A36	RU
Якутскэнерго	BBG000HJXDM0	YKEN	TQBR	RU
МФК Займер	TCS10A107RM8	ZAYM	PSSU	RU
Пермэнергосбыт - акции привилегированные	BBG000MZL2S9	PMSBP	TQBR	RU
X5 RetailGroup ГДР	BBG00JXPFBN0	FIVE	TQBR	RU
Мостотрест	BBG004S68DD6	MSTT	TQBR	RU
Банк УРАЛСИБ	BBG000BY39G2	USBN	TQBR	RU
Европейская Электротехника	BBG001V474L5	EELT	TQBR	RU
Мечел	BBG004S68598	MTLR	TQBR	RU
ГТМ	TCS00A0ZYD22	GTRK	PSBB_EQ	RU
НМТП	BBG104S68BR5	NMTP	SMAL	RU
Норильский никель	TCS307288411	GMKN	SMAL	RU
QIWI	TCS8926M1080	US74735M1080	000	RU
Россети Московский регион	TCS10A0ET7Y7	RU000A0ET7Y7	TILA21	RU
ВИ.РУ	TCS20A108K09	VSEH	PSSU	RU
РУСАЛ	TCS00A1025V3	RUAL	SPEQ	RU
Россети Северо-Запад	TCS3304JPPB9	RU000A0JPPB9	A36	RU
IVA Technologies	TCS00A108GD8	IVAT	TQBR	RU
Акрон	BBG004S688G4	AKRN	TQBR	RU
Мать и дитя	TCS00Y3XYV94	MDMG	TQBR	RU
Газпром	BBG004730RP0	GAZP	TQBR	RU
HeadHunter Group PLC	TCS4207L1061	US42207L1061	US42207L1061_RZI	RU
X5 RetailGroup ГДР	TCS0387E2054	FIVE@GS	SPBXM	RU
Сбер Банк - привилегированные акции	BBG0047315Y7	SBERP	TQBR	RU
ДВМП	TCS208992318	FESH	SPEQ	RU
ВК	TCS70A106YF0	RU000A106YF0	RU000A106YF0_T00	RU
Лента	BBG0063FKTD9	LENT	TQBR	RU
Ленэнерго - акции привилегированные	TCS109092134	LSNGP	SMAL	RU
МРСК Волги	TCS6649JPPN4	RU000A0JPPN4	A36	RU
Транснефть - привилегированные акции	TCS109091573	RU0009091573	TILA21	RU
КИФА	TCS00A108ZF3	QIFA	PTEQ	RU
Банк Санкт-Петербург	BBG000QJW156	BSPB	TQBR	RU
№213 Гарант. купон	ISSUANCE9999	ISSUANCE9999	ISSUANCE9999	RU
Интер РАО ЕЭС	RU000A0JPNM1	RU000A0JPNM1	TA21	RU
Группа Астра	RU000A106T36	ASTR	TQBR	RU
Сбер Банк	TCS709029540	SBER	D6	RU
ТГК-2	TCS3206JNGS7	RU000A0JNGS7	A36	RU
Татнефть - привилегированные акции	RU0006944147	TATNP	SPEQ	RU
МегаФон	BBG003NXF5V3	MFON	TQBR	RU
РКК Энергия им.С.П.Королева	BBG000LWNRP3	RKKE	TQBR	RU
Ленэнерго	BBG000NLC9Z6	LSNG	TQBR	RU
Ренессанс Страхование	BBG00QKJSX05	RENI	TQBR	RU
Etalon Group PLC ГДР	TCS9760G1031	ETLN@GS	SPBXM	RU
ТКС Холдинг	TCS30A107UL4	RU000A107UL4	T01	RU
Россети Центр	BBG000VH7TZ8	MRKC	TQBR	RU
Курганская генерирующая компания	BBG001BBFTQ2	KGKC	TQBR	RU
Светофор Групп	BBG00M8JQW11	SVET	TQBR	RU
HeadHunter Group PLC	TCS6207L1061	US42207L1061	T01	RU
Банк Санкт-Петербург	TCS460900945	RU0009100945	A36	RU
Whoosh	TCS30A105EX7	RU000A105EX7	RU000A105EX7_NSD	RU
СПБ Биржа	TCS00A0JQ9P9	SPBE	SPBRU_USD	RU
Группа Позитив	TCS00A103X66	POSI	TQBR	RU
Россети Центр и Приволжье	TCS6209JPN96	RU000A0JPN96	A36	RU
Группа Аренадата	TCS10A108ZR8	DATA	PSSU	RU
TCS Group	TCS8238U2033	US87238U2033	US87238U2033_NSD	RU
М.Видео	TCS2985JPGA0	RU000A0JPGA0	A36	RU
Petropavlovsk PLC	BBG00VPKLPX4	POGR	TQBR	RU
HENDERSON	TCS40A106XF2	RU000A106XF2	RU000A106XF2_NSD	RU
Магнитогорский металлургический комбинат	TCS009084396	MAGN	SPEQ	RU
Красный Октябрь	BBG000NLB2G3	KROT	TQBR	RU
КуйбышевАзот	BBG002B9MYC1	KAZT	TQBR	RU
Ростелеком - Привилегированные акции	TCS009046700	RU0009046700	TILA21	RU
Русгрэйн	BBG0014PFYM2	RUGR	TQPI	RU
ГК Роллман	BBG003QGWDZ7	RLMN	TQPI	RU
ЭЛ5-Энерго	TCS10A0F5UN3	ELFV	SMAL	RU
Газпром нефть	BBG004S684M6	SIBN	TQBR	RU
РуссНефть	TCS2971JSE60	RU000A0JSE60	A36	RU
ЯТЭК	BBG002B298N6	YAKG	TQBR	RU
Сбербанк	BBG00KDWPPW2	IMOEX	IMOEX	RU
РКК Энергия им.С.П.Королева	TCS009095939	RU0009095939	TILA21	RU
ТГК-2	BBG000Q7GG57	TGKB	TQBR	RU
Татнефть - привилегированные акции	TCS613844147	RU0006944147	A37	RU
Калужская сбытовая компания	BBG000DBD6F6	KLSB	TQBR	RU
РБК	TCS00A0JR6A6	RBCM	TQPI	RU
ЧМК	BBG000RP8V70	CHMK	TQBR	RU
VK	TCS103172082	US5603172082	US5603172082_RZK	RU
Сбер Банк - привилегированные акции	TCS209029557	RU0009029557	TILA21	RU
РуссНефть	BBG00F9XX7H4	RNFT	TQBR	RU
Fix Price Group	TCS3835G2057	US33835G2057	US33835G2057_RZK	RU
TCS Group	TCS3238U2033	US87238U2033	US87238U2033_TLT04	RU
Акции обыкновенные ПАО МОЭК	TCS00A0JPQ93	MOEK	MTQR	RU
Приморье Банк	BBG001P1VKH0	PRMB	TQBR	RU
X5 RetailGroup ГДР	TCS1387E2054	US98387E2054	US98387E2054_RZI	RU
Группа Позитив	TCS494503X66	RU000A103X66	A36	RU
HeadHunter Group PLC	TCS3207L1061	US42207L1061	US42207L1061_RZA	RU
Россети Центр и Приволжье	TCS00A0JPN96	RU000A0JPN96	TILA21	RU
Российские сети	BBG004S682J4	RSTI	TQBR	RU
Россети Северо-Запад	BBG000TJ6F42	MRKZ	TQBR	RU
Сбер Банк	TCS111929540	RU0009029540	A36	RU
Аптечная сеть 36,6	BBG000K3STR7	APTK	TQBR	RU
Славнефть-Мегионнефтегаз - привилегированные акции	TCS843911134	RU0009011134	A36	RU
Solidcore Resources plc	TCS5B6T5S470	POLY	MPBB	RU
Сбер Банк	TCS209029540	RU0009029540	RU0009029540_TNDS	RU
Мультисистема	BBG001BBSZV8	MSST	TQPI	RU
Софтлайн	TCS20A0ZZBC2	SOFL	PSSU	RU
HeadHunter Group PLC	TCS0207L1061	HHR	SPBEQRU	RU
ДЭК	TCS6497JP2W1	RU000A0JP2W1	A36	RU
QIWI	BBG005D1WCQ1	QIWI	TQBR	RU
Ростелеком - Привилегированные акции	TCS435446700	RU0009046700	A36	RU
Яндекс	TCS809805522	YNDX	PSBB	RU
Юнипро	TCS1807JNGA5	RU000A0JNGA5	A37	RU
Тинькофф - Восход	TINKOFFVOSK1	TINKOFFVOSK1	TINKOFFVOSK1	RU
Детский Мир	TCS30A0JSQ90	RU000A0JSQ90	RU000A0JSQ90_A21	RU
РусГидро	BBG00475K2X9	HYDR	TQBR	RU
Novabev Group	TCS00A0HL5M1	BELU	SPEQ	RU
Ставропольэнергосбыт	BBG000VDT0D0	STSB	TQBR	RU
Positive Technologies Оферта (4 окно)	ISSANCEPOSI4	ISSANCEPOSI4	ISSANCEPOSI4	RU
HeadHunter Group PLC	TCS1207L1061	US42207L1061	US42207L1061_RZK	RU
SPO ИНАРКТИКА	ISSUANCEAAAA	ISSUANCEAAAA	ISSUANCEAAAA	RU
Ozon Holdings PLC	TCS9269L1044	OZON@US	SPBXM	RU
Квадра	BBG000F6H7K3	TGKD	TQBR	RU
Делимобиль	ISSUANCEDMOB	ISSUANCEDMOB	ISSUANCEDMOB	RU
TCS Group	TCS0238U2033	TCS	US87238U2033_SAV	RU
Яндекс	NL0009805522	NL0009805522	SPBXM_OTC	RU
Магаданэнерго	TCS278358919	RU0006758919	A36	RU
Novabev Group	TCS10A0HL5M1	RU000A0HL5M1	TILA21	RU
ДЭК	TCS00A0JP2W1	DVEC	SMAL	RU
Нижнекамскшина	BBG002B9P9K4	NKSH	TQBR	RU
Соликамский магниевый завод	BBG000FJXMJ6	MGNZ	TQBR	RU
НЛМК	BBG004S681B4	NLMK	TQBR	RU
Novabev Group	BBG000TY1CD1	BELU	TQBR	RU
Аквамарин	RU000A107PR1	RU000A107PR1	RU000A107PR1	RU
Лензолото - привилегированные акции	BBG000SR0YS4	LNZLP	TQBR	RU
Распадская	TCS1499B90N8	RU000A0B90N8	A36	RU
VEON	TCS2822M5022	US91822M5022	US91822M5022_NDS	RU
VK	TCS303172082	US5603172082	US5603172082_RZA	RU
ПИК	TCS8312JP7J7	RU000A0JP7J7	A36	RU
Диасофт	TCS453707ER5	RU000A107ER5	A36	RU
IPO Европлан	ISSUANCEEURP	ISSUANCEEURP	ISSUANCEEURP	RU
IPO Тинькофф Замещающие облигации 2	ZAMESHAYUSC2	ZAMESHAYUSC2	ZAMESHAYUSC2	RU
Нижнекамскнефтехим (привилегированные)	TCS006765096	RU0006765096	RU0006765096_A21	RU
ФСК Россети (промежуточные акции)	RU000A105MT8	RU000A105MT8	RU000A105MT8	RU
Яндекс	BBG006L8G4H1	YNDX	TQBR	RU
Русгрэйн	TCS00A0JPNP4	RUGR	TQBR	RU
Аэрофлот	TCS109062285	AFLT	SPEQ	RU
НоваБев Групп	TCS10A1095U8	RU000A1095U8	A21	RU
Банк Возрождение - акции привилегированные	BBG000NLHR27	VZRZP	TQBR	RU
Ozon Holdings PLC	TCS3269L1044	US69269L1044	US69269L1044_RZI	RU
ЭсЭфАй	BBG003LYCMB1	SFIN	TQBR	RU
Квадра - привилегированные акции	BBG000BS4180	TGKDP	TQBR	RU
Globaltrans Investment PLC	TCS5949E2046	GLTR@GR	A27	RU
ДВМП	BBG000QF1Q17	FESH	TQBR	RU
Городские Инновационные Технологии	TCS20A0JV532	RU000A0JV532	TILA21	RU
СПБ Биржа	TCS40A0JQ9P9	SPBE	TQBR	RU
PhosAgro PJSC	BBG001R16GZ5	PHOR@GS	SPBXM	RU
Софтлайн	TCS40A0ZZBC2	SOFL	PSSPBRU	RU
Ростовоблгаз	BBG003M5Q5B5	RTGZ	TQBR	RU
Эн+	TCS00A100K72	RU000A100K72	TILA21	RU
Костромская сбытовая компания - привилегированные акции	BBG000DBV9Y9	KTSBP	TQBR	RU
Whoosh	TCS938305EX7	RU000A105EX7	A36	RU
Яндекс	TCS309805522	NL0009805522	NL0009805522_RZA	RU
Распадская	BBG004S68696	RASP	TQBR	RU
Волгоградэнергосбыт - привилегированные акции	BBG000FJ6S03	VGSBP	TQBR	RU
Южуралзолото ГК	TCS20A0JPP37	UGLD	PTEQ	RU
Банк ВТБ	TCS10A0JP5V6	VTBR	SPEQ	RU
Банк Санкт-Петербург	BBG00Z197548	BSPBP	TQBR	RU
FIXP_OTC	ISSUANCEFIXP	ISSUANCEFIXP	ISSUANCEFIXP	RU
Новошип - привилегированные акции	TCS009177281	NOMPP	MTQR	RU
ВСМПО-АВИСМА	TCS613800291	RU0009100291	A36	RU
